step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11
10,0,2.375726401805878e-06,3.4437062740325928,6.506232112844124,1.1606686157902038,0.725331312415437,0.6516679101509388,0.7087256134440244,0.6785787360378106,0.8690310087790507,0.700946581064627,0.7973448440846848,0.7906800679797104,0.8585726564282637,0.7516775833331215,0.8606540814680571
20,0,2.375726401805878e-06,3.4877662658691406,6.799715872440358,1.1073929152197985,0.5910932240434982,0.5791846430280616,0.6528946234301674,0.5635093742889962,0.6718460598245254,0.6466240915179718,0.6706131119064117,0.7113383904976913,0.6499227557699989,0.6131092561752811,0.7080365541986541
30,0,2.375726401805878e-06,3.1995201110839844,6.472860163682161,0.7237178593386768,0.43969506927026536,0.4202270521187834,0.4904743303575327,0.45910142051915187,0.502485022343725,0.5161237842237795,0.524901065804068,0.5593449769543887,0.5163982574878717,0.5196085284738536,0.5296216711289748
40,0,2.375726401805878e-06,3.4622178077697754,5.651358086948687,0.6257763586533281,0.37318573626216867,0.3714220117694952,0.4366684127585004,0.4030499862906158,0.4475692045801598,0.43285659304922214,0.447419792547118,0.456518569669785,0.4821619974960506,0.46492940006477873,0.5358456311447455
50,0,2.375726401805878e-06,3.5028553009033203,6.149002680565564,0.6292534740424003,0.4052178531648712,0.38443105853677495,0.43367440942196706,0.3871129689193533,0.4766146822386379,0.44034186087046784,0.44437008336558453,0.4253547360318066,0.38926550501882834,0.37965459000858043,0.4757714611094708
60,0,2.375726401805878e-06,3.143923044204712,5.221457958725851,0.6492865095287625,0.39915590737396545,0.4171707180669857,0.49169337607652536,0.44733470002595466,0.4860316744916954,0.4096336599161531,0.40451041097147206,0.4031041198164546,0.4256094531357287,0.3701292806857909,0.42341939834186554
70,0,2.375726401805878e-06,3.233870506286621,4.426445027757951,0.5176166652006322,0.29234249072894125,0.29250682754848584,0.32957034013027875,0.3114232574534889,0.35849489289218756,0.3061132262821138,0.3091260241448045,0.32081497530698144,0.3202014812244663,0.31121034664817687,0.3466072459980826
80,0,2.375726401805878e-06,3.257361650466919,5.03436006161703,0.6403385481098094,0.3551871373021955,0.32553663833502944,0.3525558420697234,0.3275114831445356,0.39325219301433184,0.326284694145518,0.34536648566774286,0.32501967525632647,0.3343852798972997,0.3207652356055645,0.36250805950942927
90,0,2.375726401805878e-06,2.9775195121765137,6.684062556049458,1.0135035830437882,0.6702711278161918,0.6720360805880319,0.7314346935450935,0.616743207945587,0.6400515965381194,0.5166907425831533,0.5528247410133432,0.5099323553724149,0.44346608372730645,0.4334733739978313,0.5105150423819367
100,0,2.375726401805878e-06,3.4364027976989746,6.982182137083703,0.9349008538558855,0.5914034212459646,0.5863856164621106,0.6758485246889383,0.5959487690348925,0.7192055764788028,0.5681850334658032,0.5472744309994341,0.5266835516152808,0.5193084923672804,0.517494070362783,0.5167345910359434
110,0,2.375726401805878e-06,4.079750061035156,8.405372798258405,1.097470060161408,0.6464181775915365,0.698149963786408,0.8424193828597977,0.7271936135940595,0.8981652903979529,0.6703047845715531,0.6543785505061279,0.720701607613966,0.5840867032976955,0.5633743136959842,0.5909816671531204
